Name,Count,Can be used ?,Can be used with restrictions ?
 GPLv2,604,,
 GPLv2+,123,,
 GPLv2+ & LGPLv2.1+ & BSD-3-Clause & BSD-4-Clause,107,,
 MIT,99,,
 GPLv2+ & LGPLv2+ & LGPLv2.1+,97,,
 GPLv2+ & LGPLv2.1+,72,,
 PSF-2.0 & BSD-0-Clause,56,,
 GFDL-1.3 & BSD & ( GPL-3.0 & The-Qt-Company-GPL-Exception-1.0 | The-Qt-Company-Commercial ) & ( GPL-2.0+ | LGPL-3.0 | The-Qt-Company-Commercial ),48,,
 GPLv2+ & LGPLv2+,45,,
 GPLv2 & LGPLv2.1,24,,
 BSD-3-Clause,23,,
 GPLv3,20,,
 Apache-2.0,19,,
 LGPLv2.1+,18,,
 LGPLv2.1,16,,
 Proprietary,13,,
 GPL-3.0 | The-Qt-Company-Commercial,12,,
 GPLv3+,12,,
 GPL-3.0 & The-Qt-Company-GPL-Exception-1.0 | The-Qt-Company-Commercial,9,,
 BitstreamVera,7,,
 (GPL-3.0 & The-Qt-Company-GPL-Exception-1.0) | The-Qt-Company-Commercial,6,,
 BSD-2-Clause,6,,
 vim,6,,
 BSD-2-Clause & BSD-3-Clause & BSD-4-Clause & ISC & MIT,5,,
 LGPLv2+,5,,
 GPLv2 & LGPLv2,5,,
 GPLv2 & LGPLv2 & BSD-3-Clause & MIT,5,,
 GPLv2 & LGPLv2 & LGPLv2.1,5,,
 openssl,5,,
 PD,5,,
 LGPLv2+ & GPLv2+,4,,
 CC-BY-3.0,4,,
 ISC,4,,
 GPLv2 | LGPLv3+,3,,
 LGPL-2.1,3,,
 LGPL-3.0 & BSD & GPL-3.0 & The-Qt-Company-GPL-Exception-1.0 | The-Qt-Company-Commercial,3,,
 LGPL-3.0 | GPL-2.0 | The-Qt-Company-Commercial,3,,
 GPL-3.0 | LGPL-3.0 | The-Qt-Company-Commercial,3,,
 LGPLv2,3,,
 Apache-2.0 & MIT & openssl & BSL-1.0 & GFDL-1.3 & BSD & ( GPL-3.0 & The-Qt-Company-GPL-Exception-1.0 | The-Qt-Company-Commercial ) & ( GPL-2.0+ | LGPL-3.0 | The-Qt-Company-Commercial ),3,,
 BSD & ( GPL-3.0 & The-Qt-Company-GPL-Exception-1.0 ) & ( GPL-2.0+ | LGPL-3.0 ) | The-Qt-Company-Commercial,3,,
 BSD & ( GPL-3.0 & The-Qt-Company-GPL-Exception-1.0 | The-Qt-Company-Commercial ) & ( LGPL-3.0 | The-Qt-Company-Commercial ),3,,
 BSD & GPL-3.0 & The-Qt-Company-GPL-Exception-1.0 | The-Qt-Company-Commercial,3,,
 GFDL-1.3 & BSD & LGPL-3.0 | GPL-3.0 | The-Qt-Company-Commercial,3,,
 GPL-3.0-with-GCC-exception,3,,
 LGPLv2.1 & GPLv2+,3,,
 LGPLv2.1+ & GFDL-1.2,3,,
 MIT & MIT-style,3,,
 GFDL-1.3 & (GPL-3 | LGPL-3.0) | The-Qt-Company-Commercial,3,,
 GFDL-1.3 & (LGPL-3.0 | GPL-2.0+) | The-Qt-Company-Commercial,3,,
 Zlib,3,,
 GPL-2.0 & LGPL-2.1,2,,
 ISC & BSD,2,,
 Firmware-imx-sdma_firmware,2,,
 LGPLv2.1+ & BSD-3-Clause & PD,2,,
 AFL-2.1 | GPLv2+,2,,
 Artistic-1.0 | GPL-1.0+,2,,
 BSD,2,,
 BSD-3-Clause | Artistic-1.0,2,,
 bzip2-1.0.6,2,,
 Firmware-imx-vpu_firmware,2,,
 GPL-2.0,2,,
 GPLv2 & bzip2-1.0.4,2,,
 GPLv2+ | LGPLv3+,2,,
 GPLv2 & GPLv3 & LGPLv2 & LGPLv3,2,,
 GPLv3 & LGPLv3,2,,
 MIT-style & MIT & PD,2,,
 MPL-1.1 | LGPLv2.1,2,,
 GPLv2 | BSD,1,,
 GPLv2 | GPLv3,1,,
 GPL-2.0 | MPL-2.0 | LGPL-2.1,1,,
 LGPL-2.1+,1,,
 LGPL-2.1+ & GPL-2+,1,,
 GPL-2.0-with-OpenSSL-exception,1,,
 GPL-2.0+ & LGPL-2.1+,1,,
 GPL-2.0+ & MPL-2.0,1,,
 LGPLv2 & LGPLv2.1,1,,
 LGPLv2.0+,1,,
 BSD-3-Clause | GPLv2,1,,
 CLOSED,1,,
 GPLv2+ | BSD,1,,
 LGPLv2.1 | MPL-1.1,1,,
 LGPLv3+ | GPLv2,1,,
 FreeType | GPLv2+,1,,
 GPLv2 & BSD-3-Clause,1,,
 LGPLv3+ | GPLv2+,1,,
 Libpng,1,,
 (GPLv2+ | LGPLv3),1,,
 BSD & MIT,1,,
 BSD-0-Clause,1,,
 BSD-1-Clause,1,,
 BSD-2-Clause & BSD-3-Clause,1,,
 BSD-3-Clause & ISC & PD,1,,
 GFDL-1.2 & GPLv2+ & LGPLv2.1+ & BSD,1,,
 GPLv2 & GPLv2+ & BSD,1,,
 GPLv3+ & SGIv1,1,,
 GPLv3+ | BSD-2-Clause,1,,
 iozone3,1,,
 MIT & MIT-style & BSD,1,,
 MIT & MIT-style & PD,1,,
 MIT & PSF,1,,
 MIT-X,1,,
 MPL-2.0 | (MPL-2.0 & GPL-2.0+) | (MPL-2.0 & LGPL-2.1+),1,,
 OFL-1.1,1,,
 QWTv1.0,1,,
 Sleepycat,1,,
 Zlib ,1,,
,,,
